trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.90153125918481,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",25,0,-35.90003199447594,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",25,0,-75.11003058475903,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.0625}",20,0,-121.46379327760886,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.04}",20,0,-183.99900122118387,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",25,0,-152.01136338814092,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",20,0,-60.81016847608168,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.015625}",20,0,-157.6768419193393,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,0,-244.4490341782496,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.01}",25,0,-104.38677520049707,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",30,0,-116.5418328689833,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,0,-116.5274619944606,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,0,-76.04939137773994,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,0,-1.1402137169629671,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",20,0,-90.36566028984053,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",20,0,-119.13777498853547,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",30,0,-189.46276307233046,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",25,0,-57.69151166055106,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",25,0,-228.0244663975813,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.0025}",25,0,-168.12577294378207,"{0: 12, 1: 3, 2: 4, 3: 6, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,-162.32190393864875,"{0: 18, 1: 0, 2: 8, 3: 3, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",30,0,-206.9031786925769,"{0: 17, 1: 5, 2: 4, 3: 0, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",20,0,-97.79464704764764,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-35.75604267243179,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-185.4845434333962,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
