trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.5}",20,0,-115.07742505664957,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.5}",20,5,-68.97595582075445,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
3,False,"{'a': 0.45, 'e': 0.45}",20,0,-45.780182030315025,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.5}",30,0,-43.31458265406796,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.5}",20,9,-107.06393132535686,"{0: 5, 1: 3, 2: 0, 3: 1, 4: 2}",1
6,False,"{'a': 0.24200000000000002, 'e': 0.45}",20,0,-91.23093462904168,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.5}",20,0,-14.486917917395898,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.5}",30,0,-103.70818140572455,"{0: 22, 1: 1, 2: 3, 3: 3, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.5}",20,14,-33.127559595680275,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.07200000000000001, 'e': 0.45}",25,0,-15.18595078157204,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.5}",35,19,-1.272056339075673,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.16718367346938776, 'e': 0.45}",25,2,-6.424584409460958,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.67712, 'e': 0.405}",20,0,-47.087225943304894,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.5}",20,12,4.787273847058583,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
