trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.5}",20,0,-34.91004298289583,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.5}",20,0,-55.47130121429552,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.5}",25,0,-110.25825874755267,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.8, 'e': 0.5}",20,8,-15.337576662663086,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.28800000000000003, 'e': 0.45}",30,5,-22.064586100129382,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.5555555555555556, 'e': 0.405}",25,0,-34.83750769547985,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.8, 'e': 0.5}",30,0,-135.51743033568852,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.5}",25,0,-37.317005228683044,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.5}",20,0,-42.66889671320049,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.5}",25,14,-1.1787650760229758,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.15488000000000002, 'e': 0.45}",30,11,28.496965270300134,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.3208888888888889, 'e': 0.405}",20,0,-52.60913390176525,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.5}",20,0,4.276671750868103,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.5}",20,12,14.34452601669826,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.128, 'e': 0.45}",20,0,9.191024310103524,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.8, 'e': 0.5}",25,11,-17.216539241360767,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.25088, 'e': 0.45}",20,0,-97.07409155148318,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.5}",20,9,12.189762187552727,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.24200000000000002, 'e': 0.45}",35,7,19.742389471095787,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.512, 'e': 0.405}",20,0,-14.754676869317233,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
21,False,"{'a': 0.8, 'e': 0.5}",20,9,-14.877015853374477,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
22,False,"{'a': 0.24200000000000002, 'e': 0.45}",25,0,-70.62199205622429,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.8, 'e': 0.5}",30,14,-3.6995221461385075,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.22755555555555557, 'e': 0.45}",25,7,-26.471597738563123,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
25,False,"{'a': 0.41472, 'e': 0.405}",25,11,20.199534634464182,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.25088, 'e': 0.36450000000000005}",20,0,21.295877648305847,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.8, 'e': 0.5}",20,0,-74.4417975015729,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.8, 'e': 0.5}",20,9,13.084520922297592,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.24200000000000002, 'e': 0.45}",20,0,6.264339508552059,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.8, 'e': 0.5}",20,0,-37.60740794115466,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
31,False,"{'a': 0.8, 'e': 0.5}",20,0,-39.02453037963083,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.8, 'e': 0.5}",35,12,-143.62408250752065,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 3}",1
33,False,"{'a': 0.34546938775510205, 'e': 0.45}",25,12,10.7287339654544,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.21632000000000004, 'e': 0.405}",20,0,-44.36555801177539,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
35,False,"{'a': 0.8, 'e': 0.5}",30,8,-124.60555086783951,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 3}",1
36,False,"{'a': 0.4302222222222223, 'e': 0.45}",25,0,-115.88075713806532,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.8, 'e': 0.5}",25,10,18.363972141346625,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.288, 'e': 0.45}",20,0,-26.885181221405915,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
39,False,"{'a': 0.8, 'e': 0.5}",30,15,-2.276264283087808,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.2, 'e': 0.45}",25,8,-38.73028681051589,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.36992, 'e': 0.405}",25,14,-7.218898974291643,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.15488000000000002, 'e': 0.36450000000000005}",25,5,-14.340247867267943,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
43,False,"{'a': 0.512, 'e': 0.32805000000000006}",20,4,-1.6932191559827698,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.512, 'e': 0.29524500000000004}",20,9,14.127171719865363,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.24200000000000002, 'e': 0.2657205}",20,0,-20.227785506275605,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.8, 'e': 0.5}",20,3,5.361466929860603,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5780000000000001, 'e': 0.45}",20,0,-92.8876659694761,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
48,False,"{'a': 0.8, 'e': 0.5}",25,6,27.532307561953765,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.46208, 'e': 0.45}",20,15,8.719374479716844,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.05, 'e': 0.405}",20,15,0.4842946131722372,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.05, 'e': 0.36450000000000005}",25,20,7.889617750174083,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.032, 'e': 0.32805000000000006}",25,16,-6.300694648472222,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
53,False,"{'a': 0.10368, 'e': 0.29524500000000004}",20,7,12.081471962607864,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.338, 'e': 0.2657205}",25,13,-5.7875123595928155,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.18432, 'e': 0.23914845}",30,22,17.627984083095022,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.05688888888888889, 'e': 0.215233605}",20,11,2.896693449547217,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.162, 'e': 0.1937102445}",20,8,13.37481408622196,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.28800000000000003, 'e': 0.17433922005}",20,11,18.046501722917462,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.162, 'e': 0.156905298045}",20,16,7.90569931054426,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.032, 'e': 0.1412147682405}",20,3,23.9622750690687,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5780000000000001, 'e': 0.12709329141645}",20,12,15.624427811926944,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.128, 'e': 0.114383962274805}",25,19,2.867151577374533,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.04608, 'e': 0.10294556604732451}",25,8,7.152136913007678,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.36992, 'e': 0.09265100944259205}",20,8,-0.234496683532891,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
65,False,"{'a': 0.28800000000000003, 'e': 0.08338590849833284}",30,12,-48.195292582734524,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
66,False,"{'a': 0.288, 'e': 0.07504731764849956}",20,10,18.60834407270074,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.0675425858836496}",25,16,16.826568128003068,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.10368, 'e': 0.06078832729528464}",20,7,23.361715987216773,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.338, 'e': 0.054709494565756175}",20,14,9.778879577893067,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.07200000000000001, 'e': 0.049238545109180555}",20,7,22.525194104133696,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.338, 'e': 0.0443146905982625}",20,6,22.521422654220256,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.392, 'e': 0.03988322153843625}",20,9,19.826190499044834,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.24200000000000002, 'e': 0.03589489938459262}",20,8,19.556180790325687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.28800000000000003, 'e': 0.03230540944613336}",20,10,5.716630895706329,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.029074868501520024}",20,13,13.440106921947148,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.098, 'e': 0.026167381651368022}",35,15,24.690129564129986,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.2612244897959184, 'e': 0.023550643486231218}",20,14,13.694362280997586,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.07200000000000001, 'e': 0.021195579137608098}",20,9,20.09963422484973,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.24200000000000002, 'e': 0.019076021223847286}",25,14,21.439370750616472,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.15488000000000002, 'e': 0.017168419101462558}",20,6,25.134907274528693,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
