trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99916}",35,0,-74.31098765308157,"{0: 23, 1: 5, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9983200000000001}",25,0,-124.3924983107148,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9974800000000001}",30,11,-100.69802458631601,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.9966400000000002}",25,0,-144.06116515627554,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9958000000000002}",25,0,-160.59286696617275,"{0: 12, 1: 2, 2: 7, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9949600000000003}",25,0,-64.32068631425848,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9941200000000003}",25,0,-88.22558819930396,"{0: 13, 1: 7, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9932800000000004}",20,0,-45.333595162094255,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9924400000000004}",25,16,-20.901292607318673,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9916000000000005}",25,0,-98.49074635567412,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9907600000000005}",25,0,-82.42001035948608,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9899200000000006}",25,4,-85.62956656432125,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9890800000000006}",25,0,-174.77046844554542,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9882400000000007}",35,0,-182.63750832885432,"{0: 16, 1: 5, 2: 12, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9874000000000007}",30,0,-114.83126047247396,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9865600000000008}",20,0,-129.30619267322743,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9857200000000008}",25,0,-98.43617328218187,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9848800000000009}",25,0,-110.95994026802269,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9840400000000009}",20,0,-59.99379434115651,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.983200000000001}",25,0,-62.10590713629922,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.982360000000001}",35,0,-232.4527530803525,"{0: 19, 1: 2, 2: 10, 3: 1, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.9815200000000011}",25,0,-130.12327766240463,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9806800000000011}",20,0,-70.74913904809804,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9798400000000012}",30,0,-96.34902760958244,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9790000000000012}",25,0,-296.6239270813615,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 5}",0
26,False,"{'a': 0.5, 'e': 0.9781600000000013}",20,0,-121.96074621998775,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9773200000000013}",30,0,-206.56638472414255,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9764800000000013}",25,0,-104.66638340353316,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9756400000000014}",20,0,-106.20044067124792,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9748000000000014}",30,0,-188.0937452720184,"{0: 15, 1: 1, 2: 10, 3: 3, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9739600000000015}",25,0,-85.99250873559814,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9731200000000015}",20,2,-89.67690009855467,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.9722800000000016}",20,0,-122.52594034788524,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9714400000000016}",20,0,-104.45927180289237,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.9706000000000017}",20,0,-124.73927428372936,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9697600000000017}",30,0,-65.33309315097763,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.9689200000000018}",20,0,-77.11184307762375,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9680800000000018}",20,0,-53.09269405278014,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9672400000000019}",30,0,-115.2190931278945,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9664000000000019}",30,16,-33.33273078231971,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.965560000000002}",25,0,-75.74449198362512,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.964720000000002}",20,0,-215.26045067103445,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 5}",0
43,False,"{'a': 0.5, 'e': 0.9638800000000021}",35,17,-58.18185311412098,"{0: 12, 1: 3, 2: 0, 3: 3, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.9630400000000021}",25,0,-118.59792796071392,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9622000000000022}",20,0,-100.4283267550717,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9613600000000022}",20,0,-60.78421364222562,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9605200000000023}",25,0,-138.5095399037481,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9596800000000023}",35,18,-69.99925788117812,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.9588400000000024}",20,0,-204.38547212936854,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
50,False,"{'a': 0.5, 'e': 0.9580000000000024}",20,2,-66.25180139587366,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.9571600000000025}",30,16,-38.48156489119708,"{0: 8, 1: 4, 2: 1, 3: 1, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.9563200000000025}",20,0,-102.75744927640667,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
